Range,Mean CPU Time (microseconds)
4,0.5589206585886424
5,1.119852839934077
6,2.560619238308504
7,5.525231920310741
8,12.65003154105073
9,26.953565373911033
10,59.637776588238786
11,132.220191273352
12,391.47445108677823
13,914.8081447606648
14,2017.9206406353671
15,4280.641367992159
16,9274.824957339055
17,19181.722343214584
18,40184.12900588695
19,84528.85352503472
20,182171.04773739266
21,378811.67300038214
22,789635.409049879
23,1657105.8784989873
24,3502513.0404996164
25,7372890.223699142
26,15742119.657200601
27,32248292.99435078
28,67356104.47354884
