Range,Mean CPU Time (microseconds)
4,0.33155077711224423
5,0.8015312475547993
6,1.9091575833395904
7,4.4224027259366725
8,10.357800247443206
9,22.797251007643773
10,50.56285861305879
11,111.68341180653735
12,248.39193123478475
13,539.3204638115398
14,1181.192213683775
15,2579.927155924519
16,5769.80409297437
17,12103.763843107778
18,25689.46880186289
19,55116.623196199034
20,119588.17929989894
21,268033.4604335561
22,569596.666500729
23,1197635.4563987115
24,2585726.908799188
25,5463303.5341496
26,11624166.038600016
27,24048619.689798582
28,50835615.728599444
