Range,Mean CPU Time (microseconds)
4,0.4471191420948893
5,1.0084854655665763
6,2.4624506084521425
7,5.727150485402637
8,13.128489962413116
9,29.820379219069725
10,67.20285315298156
11,150.70818788725728
12,338.08436435453706
13,752.9759134116199
14,1672.2201723151124
15,3721.376892021812
16,8319.855649408835
17,18548.99057498666
18,40423.487523516735
19,86954.77555631897
20,204208.4657998809
21,618603.5231999995
22,1434931.3381999307
23,3112301.9162496347
24,6785151.22289973
25,14407423.352200205
26,30136902.83465057
27,63884579.15189956
28,138898993.32275
