Range,Mean CPU Time (microseconds)
4,0.3445557326171259
5,0.8600622568181386
6,2.1309001630238567
7,5.180939255092279
8,12.26407706433047
9,28.243562667235523
10,64.41885277240178
11,145.5393268303568
12,327.6132565451428
13,731.6006442002845
14,1627.3194293499746
15,3619.796870984098
16,8117.882630235833
17,17738.287311537228
18,38962.57815833653
19,84972.94078129016
20,205130.575666711
21,596921.5086995973
22,1371197.8546996762
23,3007989.805750913
24,6511114.490850559
25,14148717.326099724
26,29924822.392499663
27,63489792.09010086
28,136812320.67429957
