Range,Mean CPU Time (microseconds)
4,0.6470730333597184
5,1.7030647273433543
6,4.323289962416574
7,10.406110891749325
8,24.48284760135548
9,56.11133906926809
10,126.66269592833899
11,284.2949522128821
12,631.5538098828263
13,1393.4068987047826
14,3055.4557399561245
15,6686.8800942310945
16,14664.998307298072
17,31896.32992045352
18,68876.54831500186
19,148006.5072999787
20,327375.1939247631
21,886237.336150225
22,1984557.2157497373
23,4432721.8345002625
24,9461922.728349783
25,19930436.76655034
26,42045919.313799456
27,88180316.50475024
28,189376676.86084992
