Range,Mean CPU Time (microseconds)
4,9.282411108098813
5,12.878009780726
6,18.533204340102877
7,28.56525927202285
8,48.414676687924384
9,89.80190436594425
10,177.97670894536236
11,368.704338522429
12,783.9658758445946
13,1678.9802654216867
14,3613.2739780928086
15,7808.786280337061
16,16943.44556829266
17,36484.23430789471
18,77965.65145555531
19,167474.05811250076
20,371134.3412000012
21,974542.1944500066
22,2175902.863199991
23,4698986.729799998
24,9836724.869300002
25,21050359.992250003
26,44218671.50550003
27,92390611.6095
28,196285439.54979998
